id,name,sub1,sub2,sub3,sub4,sub5,sub6,total,average,grade,dept
1001,Mia Davis,52,51,73,54,72,92,394,65.67,C,CSE
1002,Noah Williams,84,86,43,43,50,95,401,66.83,C,ECE
1003,Sophia Brown,41,63,66,72,62,58,362,60.33,C,EEE
1004,Ava Davis,66,90,60,71,77,41,405,67.5,C,EEE
1005,Liam Jones,74,79,98,99,63,43,456,76.0,B,CSE
1006,Mia Smith,43,51,55,76,98,77,400,66.67,C,ISE
1007,Lucas Jones,81,63,78,53,95,95,465,77.5,B,EEE
1008,Liam Brown,99,54,54,53,89,100,449,74.83,B,EEE
1009,Ethan Jones,85,57,54,77,47,70,390,65.0,C,CSE
1010,Noah Johnson,80,60,47,76,85,95,443,73.83,B,CSE
1011,Mason Garcia,84,44,48,99,82,42,399,66.5,C,CSE
1012,Noah Garcia,66,42,77,86,48,90,409,68.17,C,CSE
1013,Mia Garcia,53,75,53,83,97,53,414,69.0,C,ISE
1014,Mason Johnson,40,50,73,87,53,51,354,59.0,D,ISE
1015,Ava Johnson,46,90,93,40,54,47,370,61.67,C,ISE
1016,Noah Williams,76,46,59,77,100,93,451,75.17,B,ECE
1017,Noah Williams,74,61,49,86,93,47,410,68.33,C,EEE
1018,Sophia Miller,84,62,55,97,43,90,431,71.83,B,EEE
1019,Ethan Miller,64,95,49,67,49,76,400,66.67,C,ECE
1020,Mason Jones,94,96,51,93,97,80,511,85.17,A,EEE
1021,Emma Davis,86,68,43,84,85,42,408,68.0,C,CSE
1022,Mason Jones,89,46,72,58,40,46,351,58.5,D,ISE
1023,Ava Smith,87,89,73,78,78,81,486,81.0,B,CSE
1024,Ava Smith,42,79,82,82,90,78,453,75.5,B,EEE
1025,Ava Garcia,69,74,78,51,89,87,448,74.67,B,CSE
1026,Mason Johnson,92,96,96,52,44,100,480,80.0,B,EEE
1027,Sophia Williams,66,86,66,87,99,52,456,76.0,B,EEE
1028,Noah Davis,63,84,76,97,73,89,482,80.33,B,EEE
1029,Liam Williams,62,66,87,63,42,82,402,67.0,C,EEE
1030,Ava Miller,55,89,87,83,58,69,441,73.5,B,ECE
1031,Lucas Garcia,74,45,64,100,44,66,393,65.5,C,ISE
1032,Ava Johnson,87,48,67,80,78,88,448,74.67,B,EEE
1033,Liam Garcia,92,93,95,92,95,60,527,87.83,A,ECE
1034,Liam Jones,85,66,59,78,60,60,408,68.0,C,ECE
1035,Emma Smith,93,43,66,93,55,49,399,66.5,C,CSE
1036,Olivia Davis,45,96,68,94,63,50,416,69.33,C,ISE
1037,Mia Smith,87,87,43,56,83,41,397,66.17,C,EEE
1038,Mia Brown,73,62,84,68,99,74,460,76.67,B,ECE
1039,Emma Brown,43,80,47,70,60,78,378,63.0,C,CSE
1040,Emma Brown,82,73,53,94,73,86,461,76.83,B,CSE
1041,Sophia Smith,40,56,89,58,40,44,327,54.5,D,ECE
1042,Olivia Davis,50,52,57,58,65,63,345,57.5,D,EEE
1043,Mia Smith,90,93,64,53,77,97,474,79.0,B,ISE
1044,Noah Smith,55,44,74,70,85,45,373,62.17,C,EEE
1045,Ava Garcia,45,93,42,72,52,42,346,57.67,D,ISE
